klaeger_name,cid
Abemaciclib,46220502
AC-480,10437018
ACTB-1003,23653175
AEE-788,10297043
AEW-541,11476171
Afatinib,10184653
Alectinib,49806720
Alisertib,24771867
Alvocidib,5287969
AMG-208,24864821
AMG-900,24856041
Amuvatinib,11282283
Apatinib,11315474
Apatinib,45139106
Apatinib,131750276
Apitolisib,25254071
ARRY-380,42598643
ASP-3026,25134326
AT-13148,24905401
AT-7519,11338033
AT-9283,135398495
AV-412,9806229
AV-412,11700696
AV-412,156267898
Axitinib,6450551
AXL-1717,72435
AZD-1208,58423153
AZD-1480,16659841
AZD-2014,25262792
AZD-4547,51039095
AZD-5363,25227436
AZD-5438,16747683
AZD-6482,44137675
AZD-7762,11152667
AZD-8055,25262965
AZD-8186,52913813
AZD-8330,16666708
Bafetinib,11387605
Barasertib,11497983
Barasertib_HQPA,16007391
Baricitinib,44205240
BGT-226,11978790
BI-2536,11364421
BI-847325,135567102
Binimetinib,10288191
BMS-387032,3025986
BMS-690514,11349170
BMS-754807,24785538
BMS-777607,24794418
BMS-911543,50922691
Bosutinib,5328940
Brivanib,11234052
Brivanib_alaninate,11154925
BYL-719,56649450
Cabozantinib,25102847
Canertinib,156414
Capmatinib,25145656
CC-401,10430360
Cediranib,9933475
CEP-32496,56846693
Cerdulatinib,44595079
Ceritinib,57379345
CH-5183284,66555680
Cobimetinib,16222096
Copanlisib,135565596
CP-547632,9811611
CP-724714,9874913
Crenolanib,10366136
Crizotinib,11626560
CUDC-101,24756910
Cyc-116,6420138
Dabrafenib,44462760
Dacomitinib,11511120
Danusertib,11442891
Dasatinib,3062316
Decernotinib,59422203
Defactinib,25117126
Deforolimus,11520894
Deforolimus,25199957
Deforolimus,53486198
Deforolimus,137699208
Deforolimus,23724531
Deforolimus,146159240
Deforolimus,71296108
Deforolimus,72734349
Deforolimus,74787553
Deforolimus,86289926
Deforolimus,92044413
Deforolimus,123135742
Deforolimus,129317881
Deforolimus,137303705
Deforolimus,155809409
Dinaciclib,46926350
Dovitinib,135398510
Encorafenib,50922675
ENMD-2076,16041424
Entrectinib,25141092
Enzastaurin,176167
Erlotinib,176870
Fasudil,3547
Fedratinib,16722836
Filgotinib,49831257
Foretinib,42642645
Fostamatinib,11671467
Galunisertib,10090485
GDC-0994,71727581
Gefitinib,123631
Gilteritinib,49803313
Golvatinib,16118392
GSK-1059615,23582824
GSK-1070916,46885626
GSK-2110183,46843057
GSK-461364,15983966
GSK-690693,16725726
HMN-214,9888590
Hydroxyfasudil,3064778
Ibrutinib,24821094
Icotinib,22024915
Imatinib,5291
IMD-0354,5081913
JANEX-1,3794
JNJ-26483327,11952856
JNJ-38877605,46911863
K-252a,3035817
K-252a,3813
K-252a,490561
K-252a,9912413
K-252a,9912410
K-252a,9912412
K-252a,11612445
K-252a,98053103
KW-2449,11427553
Lapatinib,208908
Lenvatinib,9823820
Lestaurtinib,126565
Linifanib,11485656
Linsitinib,11640390
Losmapimod,11552706
Lucitanib,25031915
LY-2584702,25118925
LY-2801653,44603533
Masitinib,10074640
MGCD-265,24901704
Midostaurin,9829523
Milciclib,16718576
MK-1775,24856436
MK-2206,24964624
MK-2461,44137946
MK-5108,24748204
MK-8033,45142457
MLN-2480,25161177
MLN-8054,11712649
Momelotinib,25062766
Motesanib,11667893
Mubritinib,6444692
Neratinib,9915743
Nilotinib,644241
Nintedanib,135423438
NMS-1286937,49792852
Omipalisib,25167777
ONO-4059 analogue,89455219
Orantinib,5329099
OSI-027,135398516
OSI-930,9868037
Osimertinib,71496458
OTS-167,135398499
P-276-00,23643975
P-276-00,23643976
Pacritinib,46216796
Palbociclib,5330286
Pazopanib,10113978
PD-325901,9826528
Pelitinib,6445562
Pexidartinib,25151352
Pexmetinib,24765037
PF-03814735,51346455
PF-04217903,17754438
PF-04691502,25033539
PF-3758309,25227462
PF-477736,135565545
PF-562271,11713159
PH-797804,22049997
PHA-793887,46191454
Pictilisib,17755052
Pimasertib,44187362
Ponatinib,24826799
Poziotinib,25127713
Quizartinib,24889392
R-406,11213558
R-547,6918852
Rabusertib,11955855
RAF-265,11656518
Rebastinib,25066467
Refametinib,44182295
Regorafenib,11167602
RGB-286638,11285001
RGB-286638,11285002
Ribociclib,44631912
Rigosertib,6918736
Ripasudil,9863672
Ro-4987655,11548630
Ro-5126766,16719221
Rociletinib,57335384
Ruboxistaurin,153999
Ruxolitinib,25126798
Sapanisertib,45375953
Sapitinib,11488320
SAR-407899,15604510
Saracatinib,10302451
SB-1317,16739650
SCH-900776,46239015
