broad_id,L1000_name,cid,smiles_1,smiles_2
BRD-A28746609,PACLITAXEL,441276,CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)C4[C@@]5(CO[C@@H]5C[C@H](O)[C@@]4(C)C1=O)OC(=O)C)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7,NA
BRD-A91699651,CHLOROQUINE,2719,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,NA
BRD-K03406345,AZACITIDINE,9444,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,NA
BRD-K12343256,TRAMETINIB,11707110,CC(=O)Nc1cccc(c1)-n1c2c(C)c(=O)n(C)c(Nc3ccc(I)cc3F)c2c(=O)n(C2CC2)c1=O,NA
BRD-K24844714,FLUOROURACIL,3385,Fc1c[nH]c(=O)[nH]c1=O,NA
BRD-K33379087,TIVANTINIB,11494412,O=C1NC(=O)[C@H]([C@@H]1c1c[nH]c2ccccc12)c1cn2CCCc3cccc1c23,NA
BRD-K54256913,MK-1775,24856436,CN1CCN(CC1)c1ccc(Nc2ncc3c(n2)n(-c2cccc(n2)C(C)(C)O)n(CC=C)c3=O)cc1,NA
BRD-K60866521,IDELALISIB,11625818,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,NA
BRD-K79404599,ENZASTAURIN,176167,Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCN(Cc5ccccn5)CC4)c6ccccc36)c7ccccc17,NA
BRD-K81418486,VORINOSTAT,5311,ONC(=O)CCCCCCC(=O)Nc1ccccc1,NA
BRD-K86930074,CEDIRANIB,9933475,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,NA
BRD-K88510285,BORTEZOMIB,387447,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)B(O)O,NA
BRD-K93754473,TAMOXIFEN,2733526,CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1,NA
