smiles,cid,name,broad_id,smiles_number
CN(C)C(=O)c1cc2cnc(Nc3ccc(cn3)N3CCNCC3)nc2n1C1CCCC1,44631912,ribociclib,BRD-K36788280-001-01-2,smiles1
CN(C)C(=O)c1cc2cnc(Nc3ccc(cn3)N3CCNCC3)nc2n1C1CCCC1,44631912,ribociclib,BRD-K36788280-001-01-2,smiles2
CN(C)C(=O)c1cc2cnc(Nc3ccc(cn3)N3CCNCC3)nc2n1C1CCCC1,44631912,ribociclib,BRD-K36788280-001-01-2,smiles3
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-50-9,smiles1
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-50-9,smiles2
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-50-9,smiles3
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-50-9,smiles4
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-50-9,smiles5
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-17-8,smiles1
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-17-8,smiles2
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-17-8,smiles3
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-17-8,smiles4
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-17-8,smiles5
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-22-8,smiles1
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-22-8,smiles2
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-22-8,smiles3
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-22-8,smiles4
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-22-8,smiles5
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-11-1,smiles1
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-11-1,smiles2
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-11-1,smiles3
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-11-1,smiles4
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-11-1,smiles5
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-23-6,smiles1
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-23-6,smiles2
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-23-6,smiles3
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-23-6,smiles4
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-23-6,smiles5
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-34-3,smiles1
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-34-3,smiles2
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-34-3,smiles3
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,387447,bortezomib,BRD-K88510285-001-34-3,smiles4
