BRD,Bromosporine,NVS-CECR2-1,NIC57,OF-1,PFI-4,BAZ2-ICR,GSK2801,SGC-BRD9,SGC-CBP30,CBP30-298,CBP30-383,I-CBP112,PFI-3 D1,PFI-3,Salicylic Acid
ATAD2A,62000,50000,50000,100000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,15000
ATAD2B,30000,50000,50000,29000,50000,50000,50000,50000,50000,50000,50000,71000,50000,50000,50000
BAZ1B,38000,50000,50000,50000,50000,50000,50000,50000,50000,100000,100000,50000,50000,50000,50000
BAZ2A,3800,50000,50000,13000,4600,50000,430,50000,50000,55000,75000,70000,50000,50000,50000
BAZ2B,9100,50000,9400,2500,2700,7.6,170,50000,50000,50000,50000,28000,50000,50000,50000
BRD1,1100,50000,46,360,270,21000,50000,22000,21000,46000,47000,51000,50000,50000,50000
BRD2(1),220,50000,5900,7400,3100,50000,41000,50000,620,780,1500,5700,50000,50000,50000
"BRD2(1,2)",66.5,50000,12000,5600,50000,45000,19000,35000,650,100000,100000,6900,50000,50000,7300
BRD2(2),84,50000,50000,10000,50000,50000,22000,9200,2400,1800,3600,26000,50000,50000,50000
BRD3(1),160,50000,7200,5500,13000,40000,34000,44000,740,960,1400,5400,50000,50000,50000
"BRD3(1,2)",30,50000,12000,4900,50000,50000,17000,47000,1100,100000,100000,6300,50000,50000,11000
BRD3(2),76,50000,50000,16000,17000,50000,13000,100000,2300,1600,4600,20000,50000,50000,50000
BRD4(1),38,21000,3300,3800,3600,50000,74000,46000,1100,520,700,2900,50000,50000,50000
"BRD4(1,2)",30.5,12000,15000,8200,20000,50000,65000,41000,3400,100000,100000,11000,50000,50000,50000
BRD4(2),40,5700,50000,8500,50000,50000,29000,25000,6200,2700,6900,16000,50000,50000,50000
BRD4(fl),25.5,13000,4900,7100,5900,50000,41000,50000,586.96,100000,100000,2854.47,50000,50000,50000
BRD7,82,6800,4900,1000,2500,50000,22000,68,39000,100000,100000,7600,50000,50000,50000
BRD8(1),28000,50000,4900,50000,50000,50000,50000,50000,50000,100000,100000,50000,50000,50000,50000
BRD8(2),40000,50000,4900,50000,50000,50000,50000,50000,50000,100000,100000,50000,50000,50000,50000
BRD9,6,2100,4900,2900,2000,50000,120,54,6100,12000,10000,25000,50000,50000,50000
BRDT(1),58,50000,4900,3500,14000,50000,30000,50000,2600,1800,3600,4200,50000,50000,50000
"BRDT(1,2)",87,14000,4900,11000,26000,50000,52000,21000,3100,100000,100000,9600,50000,50000,6100
BRDT(2),260,50000,4900,22000,50000,50000,67000,33000,50000,6800,18000,49000,50000,50000,50000
BRPF1,600,3500,4900,40,5.4,50000,14000,43000,2400,18000,11000,20000,50000,50000,4200
BRPF3,6000,50000,4900,970,1700,50000,15000,50000,50000,50000,50000,95000,50000,50000,50000
CECR2,11,14,4900,50000,1500,1000,9000,50000,7900,100000,100000,17000,50000,50000,50000
CREBBP,950,50000,4900,45000,50000,21000,21000,50000,7,140,59,60,50000,50000,50000
EP300,1600,50000,4900,47000,50000,41000,70000,50000,16,92,44,120,50000,50000,50000
FALZ,3300,360,4900,1600,3500,44000,95000,50000,81000,50000,50000,5500,50000,50000,50000
GCN5L2,12000,50000,4900,6900,24000,50000,50000,50000,50000,100000,100000,50000,50000,50000,50000
PBRM1(2),50000,50000,4900,50000,50000,50000,50000,50000,50000,42000,44000,50000,170,6358,1000
PBRM1(5),27000,50000,4900,4500,6500,50000,50000,50000,50000,100000,100000,50000,36,29.9,160
PCAF,11000,50000,4900,12000,9100,15000,50000,50000,50000,100000,100000,77000,50000,50000,50000
SMARCA2,4600,50000,4900,50000,29000,50000,50000,50000,50000,100000,100000,50000,49,34.6,250
SMARCA2(iso.A),6200,50000,4900,50000,32000,50000,50000,50000,50000,100000,100000,50000, ,75,950
SMARCA4,4000,50000,4900,16000,23000,50000,50000,50000,50000,100000,100000,50000,46,31.9,320
TAF1(2),3.6,2100,4900,4700,1900,50000,1400,50000,3100,5800,1600,45000,50000,50000,50000
TAF1L(2),11,9600,4900,5300,5100,50000,5100,50000,7100,17000,14000,52000,50000,50000,50000
TRIM24,6800,50000,4900,1900,4900,50000,24000,50000,12000,100000,100000,12000,50000,50000,50000
"TRIM24(PHD,BRD)",29000,50000,4900,4500,3400,50000,33000,50000,6500,17000,26000,14000,50000,50000,50000
"TRIM33(PHD,BRD)",50000,50000,4900,40000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
WDR9(2),50000,50000,4900,50000,50000,50000,50000,50000,12000,30000,41000,59000,50000,50000,50000
